"","variable","ReportWeek","ave.week.sum"
"195","amount",2001-06-01,16.6
"196","amount",2001-06-08,4.2
"197","amount",2001-06-15,3.8
"198","amount",2001-06-22,17.6
"199","amount",2001-06-29,7.8
"200","amount",2001-07-06,13.8
"201","amount",2001-07-13,18.2
"202","amount",2001-07-20,12.4
"203","amount",2001-07-27,44.6
"204","amount",2001-08-03,4.8
"205","amount",2001-08-10,1
"206","amount",2001-08-17,57.2
"207","amount",2001-08-24,0.2
"208","amount",2001-08-31,8.8
"209","amount",2001-09-07,30.4
"210","amount",2001-09-14,4.8
"211","amount",2001-09-21,0.6
"212","amount",2001-09-28,5.6
"213","amount",2001-10-05,0
"214","amount",2001-10-12,72.9
"215","amount",2001-10-19,0.6
"216","amount",2001-10-26,44.4
"217","amount",2001-11-02,25
"218","amount",2001-11-09,6.2
"219","amount",2001-11-16,1.8
"220","amount",2001-11-23,17.6
"221","amount",2001-11-30,2
"222","amount",2001-12-07,12.2
"223","amount",2001-12-14,57.4
"224","amount",2001-12-21,68.2
"225","amount",2001-12-28,5.2
"226","amount",2002-01-04,6.8
"227","amount",2002-01-11,54.8
"228","amount",2002-01-18,43
"229","amount",2002-01-25,1.6
"230","amount",2002-02-01,0.4
"231","amount",2002-02-08,4.8
"232","amount",2002-02-15,120.6
"233","amount",2002-02-22,4.2
"234","amount",2002-03-01,0.2
"235","amount",2002-03-08,0.4
"236","amount",2002-03-15,41.2
"237","amount",2002-03-22,1.6
"238","amount",2002-03-29,0
"239","amount",2002-04-05,0.2
"240","amount",2002-04-12,12.4
"241","amount",2002-04-19,2.2
"242","amount",2002-04-26,30.4
"243","amount",2002-05-03,2.6
"244","amount",2002-05-10,0
"245","amount",2002-05-17,6
"246","amount",2002-05-24,4.4
"247","amount",2002-05-31,3
"248","amount",2002-06-07,1.2
"249","amount",2002-06-14,6
"250","amount",2002-06-21,51.8
"251","amount",2002-06-28,8
"252","amount",2002-07-05,58.8
"253","amount",2002-07-12,3.4
"254","amount",2002-07-19,25.4
"255","amount",2002-07-26,51.8
"256","amount",2002-08-02,22.4
"257","amount",2002-08-09,35.8
"258","amount",2002-08-16,0.4
"259","amount",2002-08-23,7.4
"260","amount",2002-08-30,0.4
"261","amount",2002-09-06,0
"262","amount",2002-09-13,14.2
"263","amount",2002-09-20,1
"264","amount",2002-09-27,0.6
"265","amount",2002-10-04,23.4
"266","amount",2002-10-11,3.4
"267","amount",2002-10-18,18.4
"268","amount",2002-10-25,1.8
"269","amount",2002-11-01,0.6
"270","amount",2002-11-08,1.6
"271","amount",2002-11-15,0
"272","amount",2002-11-22,50.2
"273","amount",2002-11-29,0
"274","amount",2002-12-06,2
"275","amount",2002-12-13,6
"276","amount",2002-12-20,11.2
"277","amount",2002-12-27,2.2
"278","amount",2003-01-03,0
"279","amount",2003-01-10,6.8
"280","amount",2003-01-17,1.6
"281","amount",2003-01-24,0.6
"282","amount",2003-01-31,0
"283","amount",2003-02-07,0
"284","amount",2003-02-14,18.8
"285","amount",2003-02-21,1
"286","amount",2003-02-28,31.8
"287","amount",2003-03-07,2
"288","amount",2003-03-14,35.1
"289","amount",2003-03-21,0
"290","amount",2003-03-28,3.6
"291","amount",2003-04-04,2.8
"292","amount",2003-04-11,20
"293","amount",2003-04-18,11
"294","amount",2003-04-25,17.8
"295","amount",2003-05-02,0
"296","amount",2003-05-09,23.6
"297","amount",2003-05-16,0
"298","amount",2003-05-23,51.8
"299","amount",2003-05-30,24.4
"300","amount",2003-06-06,4
"301","amount",2003-06-13,27.2
"302","amount",2003-06-20,0.8
"303","amount",2003-06-27,0
"304","amount",2003-07-04,4
"305","amount",2003-07-11,24
"306","amount",2003-07-18,6.4
"307","amount",2003-07-25,0
"308","amount",2003-08-01,3.2
"309","amount",2003-08-08,7.8
"310","amount",2003-08-15,27.8
"311","amount",2003-08-22,61.6
"312","amount",2003-08-29,52.6
"313","amount",2003-09-05,54.4
"314","amount",2003-09-12,66.6
"315","amount",2003-09-19,0.3
"316","amount",2003-09-26,4.6
"317","amount",2003-10-03,8.2
"318","amount",2003-10-10,0
"319","amount",2003-10-17,15.4
"320","amount",2003-10-24,0.6
"321","amount",2003-10-31,2.4
"322","amount",2003-11-07,0.4
"323","amount",2003-11-14,1.4
"324","amount",2003-11-21,0
"325","amount",2003-11-28,15.5
"326","amount",2003-12-05,0
"327","amount",2003-12-12,35
"328","amount",2003-12-19,1.2
"329","amount",2003-12-26,3.2
"330","amount",2004-01-02,36.6
"331","amount",2004-01-09,0
"332","amount",2004-01-16,0.2
"333","amount",2004-01-23,54.2
"334","amount",2004-01-30,2.8
"335","amount",2004-02-06,18.6
"336","amount",2004-02-13,3.2
"337","amount",2004-02-20,48.8
"338","amount",2004-02-27,18.8
"339","amount",2004-03-05,15.4
"340","amount",2004-03-12,2.6
"341","amount",2004-03-19,2.4
"342","amount",2004-03-26,0
"343","amount",2004-04-02,1.2
"344","amount",2004-04-09,11.8
"345","amount",2004-04-16,1
"346","amount",2004-04-23,0.2
"347","amount",2004-04-30,32.4
"348","amount",2004-05-07,0.6
"349","amount",2004-05-14,15.2
"350","amount",2004-05-21,33
"351","amount",2004-05-28,46.8
"352","amount",2004-06-04,0
"353","amount",2004-06-11,4.6
"354","amount",2004-06-18,20
"355","amount",2004-06-25,7
"356","amount",2004-07-02,56.8
"357","amount",2004-07-09,0.4
"358","amount",2004-07-16,16.8
"359","amount",2004-07-23,44.8
"360","amount",2004-07-30,7.4
"361","amount",2004-08-06,9.8
"362","amount",2004-08-13,0
"363","amount",2004-08-20,41.2
"364","amount",2004-08-27,0.8
"365","amount",2004-09-03,0.8
"366","amount",2004-09-10,0
"367","amount",2004-09-17,4.8
"368","amount",2004-09-24,5.8
"369","amount",2004-10-01,7.2
"370","amount",2004-10-08,19.4
"371","amount",2004-10-15,8.4
"372","amount",2004-10-22,26.2
"373","amount",2004-10-29,4
"374","amount",2004-11-05,0
"375","amount",2004-11-12,1.6
"376","amount",2004-11-19,10.4
"377","amount",2004-11-26,6.6
"378","amount",2004-12-03,1.8
"379","amount",2004-12-10,46.8
"380","amount",2004-12-17,13.6
"381","amount",2004-12-24,19.8
"382","amount",2004-12-31,14.2
"383","amount",2005-01-07,6.2
"384","amount",2005-01-14,15.2
"385","amount",2005-01-21,6.2
"386","amount",2005-01-28,0
"387","amount",2005-02-04,8.2
"388","amount",2005-02-11,4.6
"389","amount",2005-02-18,1
"390","amount",2005-02-25,0
"391","amount",2005-03-04,0
"392","amount",2005-03-11,1.2
"393","amount",2005-03-18,80.8
"394","amount",2005-03-25,31.2
"395","amount",2005-04-01,8
"396","amount",2005-04-08,5.6
"397","amount",2005-04-15,28.4
"398","amount",2005-04-22,3.4
"399","amount",2005-04-29,11.8
"400","amount",2005-05-06,44.4
"401","amount",2005-05-13,0.1
"402","amount",2005-05-20,43.8
"403","amount",2005-05-27,3.6
"404","amount",2005-06-03,14.8
"405","amount",2005-06-10,1.2
"406","amount",2005-06-17,67.1
"407","amount",2005-06-24,16.2
"408","amount",2005-07-01,26.2
"409","amount",2005-07-08,2.4
"410","amount",2005-07-15,26.4
"411","amount",2005-07-22,70.6
"412","amount",2005-07-29,0.7
"413","amount",2005-08-05,7.9
"414","amount",2005-08-12,5.4
"415","amount",2005-08-19,0
"416","amount",2005-08-26,2.9
"417","amount",2005-09-02,2.2
"418","amount",2005-09-09,0.2
"419","amount",2005-09-16,3.7
"420","amount",2005-09-23,28.7
"421","amount",2005-09-30,0.5
"422","amount",2005-10-07,22.8
"423","amount",2005-10-14,28.1
"424","amount",2005-10-21,100.15
"425","amount",2005-10-28,1.5
"426","amount",2005-11-04,2.1
"427","amount",2005-11-11,5.3
"428","amount",2005-11-18,0.2
"429","amount",2005-11-25,1.2
"430","amount",2005-12-02,59.4
"431","amount",2005-12-09,9.2
"432","amount",2005-12-16,0.7
"433","amount",2005-12-23,13.5
"434","amount",2005-12-30,0
"435","amount",2006-01-06,5.8
"436","amount",2006-01-13,1
"437","amount",2006-01-20,13.5
"438","amount",2006-01-27,34.15
"439","amount",2006-02-03,3
"440","amount",2006-02-10,32.5
"441","amount",2006-02-17,0.1
"442","amount",2006-02-24,0
"443","amount",2006-03-03,1.9
"444","amount",2006-03-10,0
"445","amount",2006-03-17,0.2
"446","amount",2006-03-24,41.7
"447","amount",2006-03-31,27.9
"448","amount",2006-04-07,2
"449","amount",2006-04-14,4.4
"450","amount",2006-04-21,12.9
"451","amount",2006-04-28,73.5
"452","amount",2006-05-05,112.55
"453","amount",2006-05-12,2.5
"454","amount",2006-05-19,0.8
"455","amount",2006-05-26,3.8
"456","amount",2006-06-02,0.9
"457","amount",2006-06-09,14.3
"458","amount",2006-06-16,2
"459","amount",2006-06-23,67.2
"460","amount",2006-06-30,17.3
"461","amount",2006-07-07,72.6
"462","amount",2006-07-14,24.6
"463","amount",2006-07-21,72.3
"464","amount",2006-07-28,0.7
"465","amount",2006-08-04,2.4
"466","amount",2006-08-11,47.55
"467","amount",2006-08-18,1.6
